from,to,cost
001,314,3083.2224636346227
001,315,1528.5504184176293
001,316,3435.358645531458
001,317,1151.5294901321602
002,001,3506.680997597134
002,002,0
002,003,4884.865591936625
002,004,1159.4795362812358
002,005,180.66819920361803
002,007,914.9686786913123
002,008,854.8197069250506
002,009,4085.0775294257564
002,011,2184.510837307999
002,013,224.2669129809048
002,015,3001.079689113165
002,016,2756.030224971601
002,018,1083.6058928499617
002,021,2694.176576595098
002,022,397.4099839569962
002,024,733.0156984325079
002,025,1482.1508226172505
002,027,1271.9497075558295
002,029,1114.436264026455
002,030,166.13470862020313
002,031,1262.1847959622985
002,032,793.2831490114423
002,033,2378.394457494164
002,034,3632.760696466581
002,037,1540.88701264811
002,041,1656.7983956081755
002,042,1179.0828251901678
002,046,884.2462257630616
002,048,3298.575383496649
002,049,508.00272543918953
002,052,1488.1648081238448
002,054,531.3043872934744
002,055,624.8627314729041
002,057,834.860319282629
002,058,1918.5585200550556
002,062,1188.1296418614704
002,063,2501.126153673504
002,064,2206.1424295120805
002,066,3084.824543437872
002,067,127.83430360102935
002,069,3583.962528295728
002,070,1293.8964653786593
002,071,2911.0463998412633
002,075,586.516113204255
002,081,3128.3733816810714
002,083,211.3545723860391
002,085,1383.5883892400323
002,086,1399.2533987738886
002,087,3423.7236738563283
002,088,663.0187141773456
002,091,2018.8733729132339
002,092,815.8094599119274
002,093,948.7423138119758
002,095,181.07419233386128
002,096,1379.094015761095
002,097,575.1836489461491
002,098,493.61939263233387
002,103,435.13728913575915
002,105,577.0911420522502
002,109,3867.096724509295
002,110,1066.5363006058974
002,111,96.80330254538684
002,112,771.2065888505731
002,114,3184.2878356413758
002,115,1473.1108806497716
002,116,2332.382485052428
002,117,788.4633791149464
002,118,3681.2763342161134
002,119,2262.536937917475
002,120,1997.408113901533
002,121,1603.9317777349515
002,122,2230.007799097239
002,123,754.718306263543
002,124,1331.273531125684
002,129,1097.9187459780185
002,131,1523.262970638595
002,133,2140.9098128219393
002,134,387.7740905980074
002,135,2011.077225255246
002,136,663.042440382037
002,137,3246.149977399658
