from,to,cost
0,139,422.1256501240367
0,141,3273.4783517781902
0,144,3044.0955065748963
0,145,3633.981080827736
0,147,1188.3647076110335
0,149,3609.771288981551
0,150,2669.016410441799
0,151,1926.5188302305808
0,152,2486.273586018167
0,153,1680.2322512110577
0,154,1842.6667276136648
0,156,977.5560505304312
0,159,2925.970476074305
0,160,3838.677000538128
0,161,3117.018481139438
0,162,2845.2399589038814
0,163,4474.421128835312
0,165,3982.516038922638
0,167,3686.6463909347785
0,169,3957.658938304425
0,173,3589.5069013898315
0,176,1195.5318827778751
0,177,2609.9309788030814
0,178,1998.485254226222
0,180,2667.7533293653737
0,182,3161.8256878711627
0,183,3430.705389061018
0,184,3685.279403916717
0,186,1988.5345885162355
0,191,1618.1699898970696
0,192,1789.161112665794
0,196,2429.4836789169285
0,198,2272.463568819429
0,201,2042.753739799277
0,203,783.8742151463255
0,206,1688.2668299668965
0,208,4103.13458567669
0,212,3394.948878743216
0,219,1564.2490255231871
0,221,3581.09112516924
0,224,696.6629301359869
0,226,1936.68067035786
0,230,1495.9653221505469
0,239,3493.6281352426454
0,245,1158.2056876267595
0,248,1299.3617008523906
0,262,2414.7836987328023
0,263,3510.763259894696
0,267,3028.2598754099554
0,270,960.9222420628092
0,273,3361.2327714550165
0,277,1220.6788548709671
0,278,2387.3722313520907
0,281,769.3796686024024
0,285,2958.678180490016
0,286,1956.9731211961064
0,287,1981.424877013836
0,288,1836.2111946762127
0,292,4038.923142975637
0,293,1242.9448636776
0,297,3075.803675753629
0,298,3013.596959427324
0,299,861.542071049047
0,300,2309.8062605438517
0,303,987.0537575909628
0,304,2297.4692275751668
0,305,1665.8559405016017
0,306,2757.776134787756
0,307,1792.25143527384
0,308,1234.6235924136504
0,309,2870.455014388572
0,313,3083.2224636346227
0,314,1528.550418417629
0,315,3435.358645531458
0,316,1151.5294901321602
1,0,3506.680997597134
1,2,4884.865591936625
1,3,1159.4795362812358
1,4,180.66819920361803
1,6,914.9686786913124
1,7,854.8197069250506
1,8,4085.077529425757
1,10,2184.510837307999
1,12,224.2669129809048
1,14,3001.079689113165
1,15,2756.030224971601
1,17,1083.6058928499615
1,20,2694.176576595098
1,21,397.4099839569962
1,23,733.0156984325079
1,24,1482.1508226172505
1,26,1271.9497075558295
1,28,1114.436264026455
1,29,166.13470862020313
1,30,1262.1847959622985
1,31,793.2831490114423
1,32,2378.394457494164
